"""Month"",""Index"""
"1997 OCT,""88.3"""
"1997 NOV,""88.5"""
"1997 DEC,""88.6"""
"1998 JAN,""88.9"""
"1998 FEB,""89.6"""
"1998 MAR,""90.4"""
"1998 APR,""90.8"""
"1998 MAY,""90.2"""
"1998 JUN,""90.2"""
"1998 JUL,""90.0"""
"1998 AUG,""90.4"""
"1998 SEP,""90.6"""
"1998 OCT,""91.0"""
"1998 NOV,""90.9"""
"1998 DEC,""91.0"""
"1999 JAN,""92.1"""
"1999 FEB,""92.0"""
"1999 MAR,""92.9"""
"1999 APR,""92.6"""
"1999 MAY,""93.4"""
"1999 JUN,""93.2"""
"1999 JUL,""94.2"""
"1999 AUG,""94.6"""
"1999 SEP,""95.3"""
"1999 OCT,""95.3"""
"1999 NOV,""95.9"""
"1999 DEC,""94.7"""
"2000 JAN,""95.6"""
"2000 FEB,""96.3"""
"2000 MAR,""96.1"""
"2000 APR,""96.3"""
"2000 MAY,""96.9"""
"2000 JUN,""97.3"""
"2000 JUL,""96.7"""
"2000 AUG,""97.7"""
"2000 SEP,""97.4"""
"2000 OCT,""97.4"""
"2000 NOV,""98.3"""
"2000 DEC,""100.0"""
"2001 JAN,""99.8"""
"2001 FEB,""99.7"""
"2001 MAR,""100.5"""
"2001 APR,""100.7"""
"2001 MAY,""100.3"""
"2001 JUN,""100.8"""
"2001 JUL,""100.6"""
"2001 AUG,""101.5"""
"2001 SEP,""100.9"""
"2001 OCT,""100.0"""
"2001 NOV,""100.2"""
"2001 DEC,""100.0"""
"2002 JAN,""99.7"""
"2002 FEB,""99.9"""
"2002 MAR,""101.5"""
"2002 APR,""100.0"""
"2002 MAY,""102.6"""
"2002 JUN,""97.4"""
"2002 JUL,""103.7"""
"2002 AUG,""103.7"""
"2002 SEP,""105.4"""
"2002 OCT,""103.9"""
"2002 NOV,""104.4"""
"2002 DEC,""105.4"""
"2003 JAN,""104.9"""
"2003 FEB,""106.1"""
"2003 MAR,""106.2"""
"2003 APR,""105.2"""
"2003 MAY,""104.3"""
"2003 JUN,""105.1"""
"2003 JUL,""105.8"""
"2003 AUG,""105.8"""
"2003 SEP,""106.0"""
"2003 OCT,""107.8"""
"2003 NOV,""106.5"""
"2003 DEC,""106.3"""
"2004 JAN,""107.2"""
"2004 FEB,""107.3"""
"2004 MAR,""107.3"""
"2004 APR,""107.4"""
"2004 MAY,""106.3"""
"2004 JUN,""106.0"""
"2004 JUL,""105.4"""
"2004 AUG,""103.9"""
"2004 SEP,""103.6"""
"2004 OCT,""103.7"""
"2004 NOV,""104.3"""
"2004 DEC,""103.8"""
"2005 JAN,""104.7"""
"2005 FEB,""104.5"""
"2005 MAR,""102.5"""
"2005 APR,""105.7"""
"2005 MAY,""104.7"""
"2005 JUN,""105.6"""
"2005 JUL,""104.6"""
"2005 AUG,""103.8"""
"2005 SEP,""105.2"""
"2005 OCT,""104.5"""
"2005 NOV,""105.8"""
"2005 DEC,""109.6"""
"2006 JAN,""108.0"""
"2006 FEB,""108.1"""
"2006 MAR,""109.4"""
"2006 APR,""109.3"""
"2006 MAY,""110.4"""
"2006 JUN,""111.0"""
"2006 JUL,""109.9"""
"2006 AUG,""110.7"""
"2006 SEP,""110.9"""
"2006 OCT,""109.4"""
"2006 NOV,""110.3"""
"2006 DEC,""110.0"""
"2007 JAN,""109.9"""
"2007 FEB,""108.8"""
"2007 MAR,""108.6"""
"2007 APR,""107.5"""
"2007 MAY,""109.9"""
"2007 JUN,""108.4"""
"2007 JUL,""107.9"""
"2007 AUG,""109.4"""
"2007 SEP,""108.3"""
"2007 OCT,""108.8"""
"2007 NOV,""109.3"""
"2007 DEC,""109.6"""
"2008 JAN,""108.9"""
"2008 FEB,""110.7"""
"2008 MAR,""107.3"""
"2008 APR,""109.8"""
"2008 MAY,""108.7"""
"2008 JUN,""108.5"""
"2008 JUL,""109.2"""
"2008 AUG,""109.0"""
"2008 SEP,""108.4"""
"2008 OCT,""108.2"""
"2008 NOV,""104.3"""
"2008 DEC,""103.9"""
"2009 JAN,""101.3"""
"2009 FEB,""101.3"""
"2009 MAR,""100.8"""
"2009 APR,""101.8"""
"2009 MAY,""100.3"""
"2009 JUN,""101.3"""
"2009 JUL,""101.7"""
"2009 AUG,""99.7"""
"2009 SEP,""100.1"""
"2009 OCT,""100.1"""
"2009 NOV,""100.1"""
"2009 DEC,""99.9"""
"2010 JAN,""99.0"""
"2010 FEB,""100.4"""
"2010 MAR,""101.5"""
"2010 APR,""99.6"""
"2010 MAY,""99.8"""
"2010 JUN,""98.3"""
"2010 JUL,""97.5"""
"2010 AUG,""97.3"""
"2010 SEP,""96.6"""
"2010 OCT,""97.8"""
"2010 NOV,""95.9"""
"2010 DEC,""95.0"""
"2011 JAN,""95.9"""
"2011 FEB,""93.2"""
"2011 MAR,""92.5"""
"2011 APR,""91.9"""
"2011 MAY,""93.0"""
"2011 JUN,""93.2"""
"2011 JUL,""92.7"""
"2011 AUG,""92.5"""
"2011 SEP,""92.5"""
"2011 OCT,""92.3"""
"2011 NOV,""92.6"""
"2011 DEC,""93.3"""
"2012 JAN,""92.9"""
"2012 FEB,""92.6"""
"2012 MAR,""92.3"""
"2012 APR,""92.5"""
"2012 MAY,""93.6"""
"2012 JUN,""92.2"""
"2012 JUL,""94.4"""
"2012 AUG,""93.7"""
"2012 SEP,""91.6"""
"2012 OCT,""91.9"""
"2012 NOV,""92.8"""
"2012 DEC,""93.7"""
"2013 JAN,""92.5"""
"2013 FEB,""92.8"""
"2013 MAR,""93.5"""
"2013 APR,""93.9"""
"2013 MAY,""94.2"""
"2013 JUN,""95.4"""
"2013 JUL,""95.3"""
"2013 AUG,""94.5"""
"2013 SEP,""96.2"""
"2013 OCT,""95.6"""
"2013 NOV,""95.6"""
"2013 DEC,""95.5"""
"2014 JAN,""95.6"""
"2014 FEB,""96.3"""
"2014 MAR,""95.7"""
"2014 APR,""95.5"""
"2014 MAY,""95.3"""
"2014 JUN,""95.5"""
"2014 JUL,""96.5"""
"2014 AUG,""95.6"""
"2014 SEP,""96.6"""
"2014 OCT,""96.7"""
"2014 NOV,""97.0"""
"2014 DEC,""98.1"""
"2015 JAN,""97.6"""
"2015 FEB,""98.7"""
"2015 MAR,""100.0"""
"2015 APR,""99.6"""
"2015 MAY,""100.3"""
"2015 JUN,""100.4"""
"2015 JUL,""100.0"""
"2015 AUG,""100.3"""
"2015 SEP,""100.3"""
"2015 OCT,""101.4"""
"2015 NOV,""99.6"""
"2015 DEC,""99.0"""
"2016 JAN,""100.1"""
"2016 FEB,""99.8"""
"2016 MAR,""99.1"""
"2016 APR,""102.0"""
"2016 MAY,""100.1"""
"2016 JUN,""99.4"""
"2016 JUL,""99.3"""
"2016 AUG,""99.0"""
"2016 SEP,""99.4"""
"2016 OCT,""97.3"""
"2016 NOV,""98.7"""
"2016 DEC,""101.0"""
"2017 JAN,""99.5"""
"2017 FEB,""98.8"""
"2017 MAR,""98.3"""
"2017 APR,""98.4"""
"2017 MAY,""99.1"""
"2017 JUN,""99.9"""
"2017 JUL,""100.3"""
"2017 AUG,""100.0"""
"2017 SEP,""102.0"""
"2017 OCT,""102.6"""
"2017 NOV,""102.9"""
"2017 DEC,""102.2"""
"2018 JAN,""103.7"""
"2018 FEB,""103.8"""
"2018 MAR,""103.1"""
"2018 APR,""103.3"""
"2018 MAY,""102.5"""
"2018 JUN,""104.0"""
"2018 JUL,""102.9"""
"2018 AUG,""103.9"""
"2018 SEP,""103.2"""
"2018 OCT,""102.9"""
"2018 NOV,""102.4"""
"2018 DEC,""100.4"""
"2019 JAN,""103.4"""
"2019 FEB,""104.2"""
"2019 MAR,""104.6"""
"2019 APR,""102.3"""
"2019 MAY,""103.6"""
"2019 JUN,""103.8"""
"2019 JUL,""104.2"""
"2019 AUG,""103.5"""
"2019 SEP,""105.3"""
"2019 OCT,""106.3"""
"2019 NOV,""106.1"""
"2019 DEC,""106.2"""
"2020 JAN,""108.0"""
"2020 FEB,""110.1"""
"2020 MAR,""101.9"""
"2020 APR,""86.0"""
"2020 MAY,""92.4"""
"2020 JUN,""102.3"""
"2020 JUL,""106.6"""
"2020 AUG,""110.0"""
"2020 SEP,""111.1"""
"2020 OCT,""111.0"""
"2020 NOV,""111.9"""
"2020 DEC,""111.5"""
"2021 JAN,""108.6"""
"2021 FEB,""108.7"""
"2021 MAR,""109.2"""
"2021 APR,""109.0"""
"2021 MAY,""107.9"""
"2021 JUN,""107.2"""
"2021 JUL,""105.5"""
"2021 AUG,""106.2"""
"2021 SEP,""105.2"""
"2021 OCT,""103.7"""
"2021 NOV,""105.1"""
"2021 DEC,""104.0"""
"2022 JAN,""104.4"""
"2022 FEB,""103.5"""
"2022 MAR,""103.2"""
"2022 APR,""103.7"""
"2022 MAY,""104.1"""
"2022 JUN,""102.5"""
"2022 JUL,""102.7"""
"2022 AUG,""102.5"""
"2022 SEP,""100.8"""
"2022 OCT,""101.3"""
"2022 NOV,""102.1"""
"2022 DEC,""100.9"""
"2023 JAN,""100.5"""
"2023 FEB,""100.5"""
"2023 MAR,""100.0"""
"2023 APR,""100.2"""
"2023 MAY,""99.4"""
"2023 JUN,""101.3"""
"2023 JUL,""100.7"""
"2023 AUG,""100.5"""
"2023 SEP,""100.0"""
"2023 OCT,""98.7"""
"2023 NOV,""99.0"""
"2023 DEC,""99.3"""
"2024 JAN,""98.0"""
"2024 FEB,""98.6"""
"2024 MAR,""99.4"""
"2024 APR,""98.7"""
"2024 MAY,""98.7"""
"2024 JUN,""98.6"""
"2024 JUL,""98.0"""
"2024 AUG,""99.0"""
"2024 SEP,""98.9"""
"2024 OCT,""98.4"""
"2024 NOV,""97.4"""
"2024 DEC,""97.9"""
"2025 JAN,""98.1"""
"2025 FEB,""99.4"""
"2025 MAR,""98.7"""
"2025 APR,""98.9"""
"2025 MAY,""97.5"""
"2025 JUN,""98.6"""
"2025 JUL,""98.0"""
"2025 AUG,""97.9"""
"2025 SEP,""96.1"""
"2025 OCT,""97.8"""
